itemid,label,category,param_type,origin
225448,Percutaneous Tracheostomy,1-Intubation/Extubation,Processes,chartevents
225449,Pericardiocentesis,4-Procedures,Processes,chartevents
225450,Radiation Therapy,4-Procedures,Processes,chartevents
225451,Sputum Culture,6-Cultures,Processes,chartevents
225454,Urine Culture,6-Cultures,Processes,chartevents
225456,Ventricular Drain,3-Significant Events,Processes,chartevents
225457,Abdominal X-Ray,5-Imaging,Processes,chartevents
225459,Chest X-Ray,5-Imaging,Processes,chartevents
225460,Cervical Spine,5-Imaging,Processes,chartevents
225461,Pelvis,5-Imaging,Processes,chartevents
225462,Interventional Radiology,5-Imaging,Processes,chartevents
225463,TLS Spine,5-Imaging,Processes,chartevents
225464,Cardioversion/Defibrillation,3-Significant Events,Processes,chartevents
225465,Chest Pain,3-Significant Events,Processes,chartevents
225466,Cardiac Arrest,3-Significant Events,Processes,chartevents
225467,Chest Opened,3-Significant Events,Processes,chartevents
225468,Unplanned Extubation (patient-initiated),1-Intubation/Extubation,Processes,chartevents
225469,OR Received,3-Significant Events,Processes,chartevents
225470,OR Sent,3-Significant Events,Processes,chartevents
225472,Pneumothorax,3-Significant Events,Processes,chartevents
225474,Fall,3-Significant Events,Processes,chartevents
225475,Respiratory Arrest,3-Significant Events,Processes,chartevents
225476,Unplanned Line/Catheter Removal (Non-Patient initated),3-Significant Events,Processes,chartevents
225477,Unplanned Extubation (non-patient initiated),1-Intubation/Extubation,Processes,chartevents
225478,Operation,3-Significant Events,Processes,chartevents
225479,Thoracentesis,4-Procedures,Processes,chartevents
225485,Insertion kit used (THCEN),Thoracentesis,Checkbox,chartevents
225486,Hand cleansing prior to procedure (THCEN),Thoracentesis,Checkbox,chartevents
225487,Barrier precautions in place (THCEN),Thoracentesis,Text,chartevents
225488,Follow-up X-RAY Ordered (THCEN),Thoracentesis,Checkbox,chartevents
225489,Site cleansed with ChloraPrep (THCEN),Thoracentesis,Checkbox,chartevents
225490,Timeout Performed by (THCEN),Thoracentesis,Text,chartevents
225491,Patient identified correctly by 2 means (THCEN),Thoracentesis,Text,chartevents
225492,Verification of (THCEN),Thoracentesis,Text,chartevents
225498,Timeout performed by (PACEN),Paracentesis,Text,chartevents
225499,Patient identified correctly by 2 means (PACEN),Paracentesis,Text,chartevents
225500,Verification of (PACEN),Paracentesis,Text,chartevents
225501,Insertion kit used (PACEN),Paracentesis,Checkbox,chartevents
225503,Hand cleansing prior to procedure (PACEN),Paracentesis,Checkbox,chartevents
225504,Site cleaned with ChloraPrep (PACEN),Paracentesis,Checkbox,chartevents
225506,Barrier precautions in place (PACEN),Paracentesis,Text,chartevents
225510,Patient (Bronch),Bronchoscopy,Text,chartevents
225511,Indications (Bronch),Bronchoscopy,Text,chartevents
225513,Route (Bronch),Bronchoscopy,Text,chartevents
225514,Type (Bronch),Bronchoscopy,Text,chartevents
225516,Location (Bronch),Bronchoscopy,Text,chartevents
225518,Services (Bronch),Bronchoscopy,Text,chartevents
225524,Complications (Bronch),Bronchoscopy,Text,chartevents
225526,Bronchoalveolar lavage (BAL) / washing (Bronch),Bronchoscopy,Checkbox,chartevents
225527,Endobronchial ultrasound (EBUS) (Bronch),Bronchoscopy,Checkbox,chartevents
225528,Brushings (Bronch),Bronchoscopy,Checkbox,chartevents
225529,Transbronchial biopsy (Bronch),Bronchoscopy,Checkbox,chartevents
225530,Transbronchial needle aspirate (Bronch),Bronchoscopy,Checkbox,chartevents
225531,Conscious sedation used (Bronch),Bronchoscopy,Checkbox,chartevents
225532,Photodynamic therapy PDT (Bronch),Bronchoscopy,Checkbox,chartevents
225533,Autofluorescence AF (Bronch),Bronchoscopy,Checkbox,chartevents
225536,Hand cleansing prior to procedure (Bronch),Bronchoscopy,Checkbox,chartevents
225538,Barrier precautions in place (Bronch),Bronchoscopy,Text,chartevents
225539,Timeout performed by (Bronch),Bronchoscopy,Text,chartevents
225540,Patient identified correctly (Bronch),Bronchoscopy,Text,chartevents
225541,Verification of (Bronch),Bronchoscopy,Text,chartevents
225550,Side (A-Line),Arterial Line Insertion,Text,chartevents
225552,Insertion site (A-Line),Arterial Line Insertion,Text,chartevents
225556,Replaced previous Arterial line over wire,Arterial Line Insertion,Checkbox,chartevents
225565,Insertion kit used (A-Line),Arterial Line Insertion,Checkbox,chartevents
225567,Hand cleansing prior to procedure (A-Line),Arterial Line Insertion,Checkbox,chartevents
225568,Site cleaned with ChloraPrep(TM) (A-Line),Arterial Line Insertion,Checkbox,chartevents
225571,Number of attempts required to place line (A-Line),Arterial Line Insertion,Text,chartevents
225573,Transparent dressing applied and dated (A-Line),Arterial Line Insertion,Checkbox,chartevents
225575,Arterial Line ordered on POE,Arterial Line Insertion,Checkbox,chartevents
225578,Indications (CVL),CVL Insertion,Text,chartevents
225580,Is alternative vascular access present (CVL),CVL Insertion,Checkbox,chartevents
225581,Location (CVL),CVL Insertion,Text,chartevents
225585,ETT Depth (Intubation),Intubation,Text,chartevents
225586,Stylette (Intubation),Intubation,Checkbox,chartevents
225587,Bougie (Intubation),Intubation,Checkbox,chartevents
225588,Tube Secured (Intubation),Intubation,Checkbox,chartevents
225590,Tracheal Confirmation (Intubation),Intubation,Text,chartevents
225592,ETT Size (Intubation),Intubation,Text,chartevents
225593,Best Larynx View Obtained (Intubation),Intubation,Text,chartevents
225596,Timeout Performed by (LP),Lumbar Puncture,Text,chartevents
225597,Patient identified correctly (LP),Lumbar Puncture,Text,chartevents
225598,Verification of (LP),Lumbar Puncture,Text,chartevents
225599,Insertion kit used (LP),Lumbar Puncture,Checkbox,chartevents
225601,Hand cleansing prior to procedure (LP),Lumbar Puncture,Checkbox,chartevents
225602,Barrier precautions in place (LP),Lumbar Puncture,Text,chartevents
225607,Hand cleansing prior to procedure (PA Line),PA Line Insertion,Checkbox,chartevents
225608,Insertion kit used (PA line),PA Line Insertion,Checkbox,chartevents
225609,Site cleaned with ChloraPrep(TM) (PA line),PA Line Insertion,Checkbox,chartevents
225612,Alkaline Phosphate,Labs,Numeric,chartevents
225615,Location (PA line),PA Line Insertion,Text,chartevents
225622,ZBrain Natiuretic Peptide (BNP),Labs,Numeric,chartevents
225623,Number of attempts require to place line (PA line),PA Line Insertion,Text,chartevents
225624,BUN,Labs,Numeric,chartevents
225625,Calcium non-ionized,Labs,Numeric,chartevents
225628,CK-MB fraction (%),Labs,Numeric,chartevents
225629,Guidewire (PA Line),PA Line Insertion,Text,chartevents
225630,Ultrasound (PA line),PA Line Insertion,Text,chartevents
225631,Side (PA line),PA Line Insertion,Text,chartevents
225632,ZCK-MB,Labs,Numeric,chartevents
225633,Acuity (PA line),PA Line Insertion,Text,chartevents
225634,CK (CPK),Labs,Numeric,chartevents
225636,D-Dimer,Labs,Numeric,chartevents
225637,Differential-Atyps,Labs,Numeric,chartevents
225638,Differential-Bands,Labs,Numeric,chartevents
225639,Differential-Basos,Labs,Numeric,chartevents
225640,Differential-Eos,Labs,Numeric,chartevents
225641,Differential-Lymphs,Labs,Numeric,chartevents
225642,Differential-Monos,Labs,Numeric,chartevents
225643,Differential-Neuts,Labs,Numeric,chartevents
225644,ZDigoxin,Labs,Numeric,chartevents
225645,ZPhenytoin (Dilantin),Labs,Numeric,chartevents
225646,Transparent dressing applied and dated (PA line),PA Line Insertion,Checkbox,chartevents
225647,PA line ordered on POE,PA Line Insertion,Checkbox,chartevents
225648,Follow-up X-RAYordered (PA Line),PA Line Insertion,Checkbox,chartevents
225651,Direct Bilirubin,Labs,Numeric,chartevents
225655,ZFK506,Labs,Numeric,chartevents
225656,Freeform Chemistry,Labs,Numeric,chartevents
225657,Freeform Coags,Labs,Numeric,chartevents
225658,Freeform Drug Level,Labs,Numeric,chartevents
225659,Freeform Enzymes,Labs,Numeric,chartevents
225660,Freeform Hematology,Labs,Numeric,chartevents
225662,ZGentamicin (Peak),Labs,Numeric,chartevents
225664,Glucose finger stick (range 70-100),Labs,Numeric,chartevents
225667,Ionized Calcium,Labs,Numeric,chartevents
225668,Lactic Acid,Labs,Numeric,chartevents
225670,ZLDL measured,Labs,Numeric,chartevents
225671,LDL calculated,Labs,Numeric,chartevents
225672,Lipase,Labs,Numeric,chartevents
225674,Mixed Venous O2% Sat,Labs,Numeric,chartevents
225676,ZPhenobarbital,Labs,Numeric,chartevents
225677,Phosphorous,Labs,Numeric,chartevents
225678,ZPlatelet Count,Labs,Numeric,chartevents
225679,ZProcan,Labs,Numeric,chartevents
225680,ZProcan Napa,Labs,Numeric,chartevents
225683,ZSed Rate,Labs,Numeric,chartevents
225684,Serum Osmolality,Labs,Numeric,chartevents
225685,Thiocynate,Labs,Numeric,chartevents
225686,ZThrombin,Labs,Numeric,chartevents
225688,ZTobramycin (Peak),Labs,Numeric,chartevents
225689,Insertion kit used (PICC Line),PICC Line Insertion,Checkbox,chartevents
225690,Total Bilirubin,Labs,Numeric,chartevents
225692,Total Granulocyte Count (TGC),Labs,Numeric,chartevents
225693,Triglyceride,Labs,Numeric,chartevents
225694,ZTropinin - T,Labs,Numeric,chartevents
225695,Uric Acid,Labs,Numeric,chartevents
225697,ZVancomycin (Peak),Labs,Numeric,chartevents
225698,TCO2 (calc) Arterial,Labs,Numeric,chartevents
225700,Immediate complications (CVL),CVL Insertion,Checkbox,chartevents
225701,Transparent dressing applied and dated (CVL),CVL Insertion,Checkbox,chartevents
225702,Follow-up chest X-RAY ordered (CVL),CVL Insertion,Checkbox,chartevents
225704,Site cleaned with ChloraPrep(TM) (CVL),CVL Insertion,Checkbox,chartevents
225705,Hand cleansing prior to procedure (CVL),CVL Insertion,Checkbox,chartevents
225706,Insertion kit used (CVL),CVL Insertion,Checkbox,chartevents
225707,Central Line ordered on POE,CVL Insertion,Checkbox,chartevents
225708,Immediate complications (PICC),PICC Line Insertion,Checkbox,chartevents
225714,Location (A-Line),Arterial Line Insertion,Text,chartevents
225717,Guidewire (A-Line),Arterial Line Insertion,Text,chartevents
225718,Ultrasound (A-Line),Arterial Line Insertion,Text,chartevents
225719,Number of operators (A-Line),Arterial Line Insertion,Text,chartevents
225721,Acuity (A-Line),Arterial Line Insertion,Text,chartevents
225722,Arterial Line Tip Cultured,Access Lines - Invasive,Checkbox,chartevents
225723,CCO PAC Line Tip Cultured,Access Lines - Invasive,Checkbox,chartevents
225724,Cordis/Introducer Line Tip Cultured,Access Lines - Invasive,Checkbox,chartevents
225725,Dialysis Catheter Tip Cultured,Access Lines - Invasive,Checkbox,chartevents
225726,Tunneled (Hickman) Line Tip Cultured,Access Lines - Invasive,Checkbox,chartevents
225727,IABP Line Tip Cultured,Access Lines - Invasive,Checkbox,chartevents
225728,Midline Tip Cultured,Access Lines - Invasive,Checkbox,chartevents
225729,Multi Lumen Line Tip Cultured,Access Lines - Invasive,Checkbox,chartevents
225730,PA Catheter Line Tip Cultured,Access Lines - Invasive,Checkbox,chartevents
225731,Pheresis Catheter Line Tip Cultured,Access Lines - Invasive,Checkbox,chartevents
225732,PICC Line Tip Cultured,Access Lines - Invasive,Checkbox,chartevents
225733,Indwelling Port (PortaCath) Line Tip Cultured,Access Lines - Invasive,Checkbox,chartevents
225734,Presep Catheter Line Tip Cultured,Access Lines - Invasive,Checkbox,chartevents
225735,Trauma Line Tip Cultured,Access Lines - Invasive,Checkbox,chartevents
225736,Triple Introducer Line Tip Cultured,Access Lines - Invasive,Checkbox,chartevents
225737,Arterial Line Discontinued,Access Lines - Invasive,Text,chartevents
225738,CCO PAC Discontinued,Access Lines - Invasive,Text,chartevents
225739,Cordis/Introducer Discontinued,Access Lines - Invasive,Text,chartevents
225740,Dialysis Catheter Discontinued,Access Lines - Invasive,Text,chartevents
225741,Tunneled (Hickman) Line Discontinued,Access Lines - Invasive,Text,chartevents
225742,IABP Line Discontinued,Access Lines - Invasive,Text,chartevents
225743,Midline Discontinued,Access Lines - Invasive,Text,chartevents
225744,Multi Lumen Line Discontinued,Access Lines - Invasive,Text,chartevents
225745,PA Catheter Discontinued,Access Lines - Invasive,Text,chartevents
225746,Pheresis Catheter Discontinued,Access Lines - Invasive,Text,chartevents
225747,PICC Line Discontinued,Access Lines - Invasive,Text,chartevents
225748,Indwelling Port (PortaCath) Discontinued,Access Lines - Invasive,Text,chartevents
225749,Presep Catheter Discontinued,Access Lines - Invasive,Text,chartevents
225750,Trauma Line Discontinued,Access Lines - Invasive,Text,chartevents
225751,Triple Introducer Discontinued,Access Lines - Invasive,Text,chartevents
225752,Arterial Line,Access Lines - Invasive,Processes,chartevents
225753,22 Gauge Insertion Date,Access Lines - Peripheral,Date and time,chartevents
225754,20 Gauge Insertion Date,Access Lines - Peripheral,Date and time,chartevents
225755,18 Gauge Insertion Date,Access Lines - Peripheral,Date and time,chartevents
225756,16 Gauge Insertion Date,Access Lines - Peripheral,Date and time,chartevents
225757,14 Gauge Insertion Date,Access Lines - Peripheral,Date and time,chartevents
225758,RIC Insertion Date,Access Lines - Peripheral,Date and time,chartevents
225759,RIC Reason Discontinued,Access Lines - Peripheral,Text,chartevents
225760,RIC Site Appear,Access Lines - Peripheral,Text,chartevents
225761,Sheath Insertion,Access Lines - Invasive,Processes,chartevents
225762,Sheath Cap Change,Access Lines - Invasive,Date and time,chartevents
225763,Sheath Change over Wire Date,Access Lines - Invasive,Date and time,chartevents
225764,Sheath Line Discontinued,Access Lines - Invasive,Text,chartevents
225765,Sheath Dressing Change,Access Lines - Invasive,Date and time,chartevents
225766,Sheath Insertion Date,Access Lines - Invasive,Date and time,chartevents
225767,Sheath Site Appear,Access Lines - Invasive,Text,chartevents
225768,Sheath Line Tip Cultured,Access Lines - Invasive,Checkbox,chartevents
225769,Sheath Tubing Change,Access Lines - Invasive,Date and time,chartevents
225770,Sheath Waveform Appear,Access Lines - Invasive,Text,chartevents
225771,Sheath Zero/Calibrate,Access Lines - Invasive,Checkbox,chartevents
225772,Sheath Size,Access Lines - Invasive,Text,chartevents
225774,CCO PAC Dressing Type,Access Lines - Invasive,Text,chartevents
225775,Cordis Introducer Dressing Type,Access Lines - Invasive,Text,chartevents
225776,Dialysis Catheter Dressing Type,Access Lines - Invasive,Text,chartevents
225777,Tunneled (Hickman) Dressing Type,Access Lines - Invasive,Text,chartevents
225778,IABP Dressing Type,Access Lines - Invasive,Text,chartevents
225779,Midline Dressing Type,Access Lines - Invasive,Text,chartevents
225780,Multi Lumen Dressing Type,Access Lines - Invasive,Text,chartevents
225781,PA Catheter Dressing Type,Access Lines - Invasive,Text,chartevents
225782,Pheresis Catheter Dressing Type,Access Lines - Invasive,Text,chartevents
225784,Indwelling Port (PortaCath) Dressing Type,Access Lines - Invasive,Text,chartevents
225785,Presep Catheter Dressing Type,Access Lines - Invasive,Text,chartevents
225786,Sheath Dressing Type,Access Lines - Invasive,Text,chartevents
225787,Trauma Line Dressing Type,Access Lines - Invasive,Text,chartevents
225788,Triple Introducer Dressing Type,Access Lines - Invasive,Text,chartevents
225789,Sheath (Venous),Access Lines - Invasive,Processes,chartevents
225790,Site cleaned with ChloraPrep(TM) (PICC),PICC Line Insertion,Checkbox,chartevents
225792,Invasive Ventilation,2-Ventilation,Processes,chartevents
225794,Non-invasive Ventilation,2-Ventilation,Processes,chartevents
225795,Dextran 40,Blood Products/Colloids,Solution,chartevents
225796,Dextran 70,Blood Products/Colloids,Solution,chartevents
225797,Free Water,Fluids/Intake,Solution,chartevents
225798,Vancomycin,Antibiotics,Solution,chartevents
225799,Gastric Meds,Fluids/Intake,Solution,chartevents
225801,Lipids 20%,Nutrition - Parenteral,Solution,chartevents
225802,Dialysis - CRRT,Dialysis,Processes,chartevents
225803,Dialysis - CVVHD,Dialysis,Processes,chartevents
225805,Peritoneal Dialysis,Dialysis,Processes,chartevents
225806,Volume In (PD),Dialysis,Numeric,chartevents
225807,Volume Out (PD),Dialysis,Numeric,chartevents
225809,Dialysis - CVVHDF,Dialysis,Processes,chartevents
225810,Dwell Time (Peritoneal Dialysis),Dialysis,Numeric,chartevents
225811,CV - past medical history,Adm History/FHPA,Text,chartevents
225813,Baseline pain level,Adm History/FHPA,Text,chartevents
225814,Stool Culture,6-Cultures,Processes,chartevents
225815,Peritoneal Fluid,3-Significant Events,Processes,chartevents
225816,Wound Culture,6-Cultures,Processes,chartevents
225817,BAL Fluid Culture,6-Cultures,Processes,chartevents
225818,Pleural Fluid Culture,6-Cultures,Processes,chartevents
225819,Brain Death,3-Significant Events,Processes,chartevents
225820,C-Spine Clearance,3-Significant Events,Processes,chartevents
225821,Unplanned Line/Catheter Removal (Patient Initiated),3-Significant Events,Processes,chartevents
225823,D5 1/2NS,Fluids/Intake,Solution,chartevents
225825,D5NS,Fluids/Intake,Solution,chartevents
225827,D5LR,Fluids/Intake,Solution,chartevents
225828,LR,Fluids/Intake,Solution,chartevents
225830,Multivitamins,Fluids/Intake,Solution,chartevents
225832,Folic Acid,Medications,Solution,chartevents
225833,Thiamine,Medications,Solution,chartevents
225834,K Phos,Medications,Solution,chartevents
225835,Na Phos,Medications,Solution,chartevents
225837,Acyclovir,Antibiotics,Solution,chartevents
225838,Ambisome,Antibiotics,Solution,chartevents
225840,Amikacin,Antibiotics,Solution,chartevents
225842,Ampicillin,Antibiotics,Solution,chartevents
225843,Ampicillin/Sulbactam (Unasyn),Antibiotics,Solution,chartevents
225844,Atovaquone,Antibiotics,Solution,chartevents
225845,Azithromycin,Antibiotics,Solution,chartevents
225847,Aztreonam,Antibiotics,Solution,chartevents
225848,Caspofungin,Antibiotics,Solution,chartevents
225850,Cefazolin,Antibiotics,Solution,chartevents
225851,Cefepime,Antibiotics,Solution,chartevents
225853,Ceftazidime,Antibiotics,Solution,chartevents
225855,Ceftriaxone,Antibiotics,Solution,chartevents
225857,Chloroquine,Antibiotics,Solution,chartevents
225859,Ciprofloxacin,Antibiotics,Solution,chartevents
225860,Clindamycin,Antibiotics,Solution,chartevents
225862,Colistin,Antibiotics,Solution,chartevents
225863,Daptomycin,Antibiotics,Solution,chartevents
225865,Doxycycline,Antibiotics,Solution,chartevents
225866,Erythromycin,Antibiotics,Solution,chartevents
225868,Ethambutol,Antibiotics,Solution,chartevents
225869,Fluconazole,Antibiotics,Solution,chartevents
225871,Foscarnet,Antibiotics,Solution,chartevents
225873,Gancyclovir,Antibiotics,Solution,chartevents
225875,Gentamicin,Antibiotics,Solution,chartevents
225876,Imipenem/Cilastatin,Antibiotics,Solution,chartevents
225877,Isoniazid,Antibiotics,Solution,chartevents
225879,Levofloxacin,Antibiotics,Solution,chartevents
225881,Linezolid,Antibiotics,Solution,chartevents
225882,Mefloquine,Antibiotics,Solution,chartevents
225883,Meropenem,Antibiotics,Solution,chartevents
225884,Metronidazole,Antibiotics,Solution,chartevents
225885,Micafungin,Antibiotics,Solution,chartevents
225886,Moxifloxacin,Antibiotics,Solution,chartevents
225888,Nafcillin,Antibiotics,Solution,chartevents
225889,Oxacillin,Antibiotics,Solution,chartevents
225890,Penicillin G potassium,Antibiotics,Solution,chartevents
225892,Piperacillin,Antibiotics,Solution,chartevents
225893,Piperacillin/Tazobactam (Zosyn),Antibiotics,Solution,chartevents
225895,Pyrazinamide,Antibiotics,Solution,chartevents
225896,Quinine,Antibiotics,Solution,chartevents
225897,Ribavirin,Antibiotics,Solution,chartevents
225898,Rifampin,Antibiotics,Solution,chartevents
225899,Bactrim (SMX/TMP),Antibiotics,Solution,chartevents
225900,Dalfopristin/Quinupristin (Synercid),Antibiotics,Solution,chartevents
225902,Tobramycin,Antibiotics,Solution,chartevents
225903,Valgancyclovir,Antibiotics,Solution,chartevents
225905,Voriconazole,Antibiotics,Solution,chartevents
225906,Enoxaparin (Lovenox),Medications,Solution,chartevents
225907,Famotidine (Pepcid),Medications,Solution,chartevents
225908,Fondaparinux,Medications,Solution,chartevents
225909,Lansoprazole (Prevacid),Medications,Solution,chartevents
225910,Pantoprazole (Protonix),Medications,Solution,chartevents
225911,Ranitidine (Prophylaxis),Medications,Solution,chartevents
225912,Carafate (Sucralfate),Medications,Solution,chartevents
225913,Coumadin (Warfarin),Medications,Solution,chartevents
225914,Factor VIIa,Blood Products/Colloids,Solution,chartevents
225915,Profilnine,Blood Products/Colloids,Solution,chartevents
225916,TPN w/ Lipids,Nutrition - Parenteral,Solution,chartevents
225917,TPN without Lipids,Nutrition - Parenteral,Solution,chartevents
225918,Aminosyn 3.5%,Nutrition - Supplements,Solution,chartevents
225919,D5 Aminosyn 3.5%,Nutrition - Supplements,Solution,chartevents
225920,Peripheral Parenteral Nutrition,Nutrition - Parenteral,Solution,chartevents
225921,Hepatamine,Nutrition - Supplements,Solution,chartevents
225922,Nephramine,Nutrition - Supplements,Solution,chartevents
225923,Folate,Nutrition - Supplements,Solution,chartevents
225924,Hydrochloric Acid,Nutrition - Supplements,Solution,chartevents
225925,Potassium Phosphate,Nutrition - Supplements,Solution,chartevents
225926,Sodium ACEtate,Nutrition - Supplements,Solution,chartevents
225928,Impact with Fiber (Full),Nutrition - Enteral,Solution,chartevents
225929,ProBalance (Full),Nutrition - Enteral,Solution,chartevents
225930,Peptamen 1.5 (Full),Nutrition - Enteral,Solution,chartevents
225931,Nutren 2.0 (Full),Nutrition - Enteral,Solution,chartevents
225934,Vivonex (Full),Nutrition - Enteral,Solution,chartevents
225935,Replete (Full),Nutrition - Enteral,Solution,chartevents
225936,Replete with Fiber (Full),Nutrition - Enteral,Solution,chartevents
225937,Ensure (Full),Nutrition - Enteral,Solution,chartevents
225941,D5 1/4NS,Fluids/Intake,Solution,chartevents
225942,Fentanyl (Concentrate),Medications,Solution,chartevents
225943,Solution,Fluids/Intake,Solution,chartevents
225944,Sterile Water,Fluids/Intake,Solution,chartevents
225945,Lidocaine,Medications,Solution,chartevents
225947,Dextrose PN,Nutrition - Parenteral,Solution,chartevents
225948,Amino Acids,Nutrition - Parenteral,Solution,chartevents
225949,NIV Mask,Respiratory,Text,chartevents
225951,Peritoneal Dialysis Fluid Appearance,Dialysis,Text,chartevents
225952,Medication Added #1 (Peritoneal Dialysis),Dialysis,Text,chartevents
225953,Solution (Peritoneal Dialysis),Dialysis,Text,chartevents
225954,Dialysis Access Type,Dialysis,Text,chartevents
225955,Dialysis - SCUF,Dialysis,Processes,chartevents
225956,Reason for CRRT Filter Change,Dialysis,Text,chartevents
225958,Heparin Concentration (units/mL),Dialysis,Text,chartevents
225959,Medication Added Amount  #1 (Peritoneal Dialysis),Dialysis,Numeric,chartevents
225961,Medication Added Units #1 (Peritoneal Dialysis),Dialysis,Text,chartevents
225963,Peritoneal Dialysis Catheter Type,Dialysis,Text,chartevents
225965,Peritoneal Dialysis Catheter Status,Dialysis,Text,chartevents
225966,Nasal Swab,6-Cultures,Processes,chartevents
225967,Rectal Swab,6-Cultures,Processes,chartevents
225969,Lipids (additive),Nutrition - Parenteral,Solution,chartevents
225970,Beneprotein,Nutrition - Enteral,Solution,chartevents
225972,Fentanyl (Push),Medications,Solution,chartevents
225973,Meperidine (Demerol),Medications,Solution,chartevents
225974,Metoprolol,Medications,Solution,chartevents
225975,Heparin Sodium (Prophylaxis),Medications,Solution,chartevents
225976,Replacement Fluid,Dialysis,Text,chartevents
225977,Dialysate Fluid,Dialysis,Text,chartevents
225978,Slope,Respiratory,Text,chartevents
225979,IABP Size,Access Lines - Invasive,Text,chartevents
225980,IABP Volume,Access Lines - Invasive,Numeric,chartevents
225981,IABP Alarms Activated,Access Lines - Invasive,Checkbox,chartevents
225982,IABP Balloon Waveform,Access Lines - Invasive,Text,chartevents
225984,IABP Trigger,Access Lines - Invasive,Text,chartevents
225985,IABP Helium Tubing,Access Lines - Invasive,Text,chartevents
225986,IABP Arterial Waveform Source,Access Lines - Invasive,Text,chartevents
225987,IABP Power Source,Access Lines - Invasive,Text,chartevents
225988,IABP Position on leg,Access Lines - Invasive,Text,chartevents
225989,Pericardial Drain Aspiration,Cardiovascular,Checkbox,chartevents
225990,Pericardial Drain Flush,Cardiovascular,Checkbox,chartevents
225991,Resource Fruit Beverage,Nutrition - Supplements,Solution,chartevents
225993,Optisource,Nutrition - Supplements,Solution,chartevents
225994,Mighty Shake (Vanilla/Strawberry),Nutrition - Supplements,Solution,chartevents
225995,Mighty Shake (Chocolate),Nutrition - Supplements,Solution,chartevents
225996,Mighty Shake (no sugar added),Nutrition - Supplements,Solution,chartevents
225999,Vanilla Scandi Shake (mixed),Nutrition - Supplements,Solution,chartevents
226000,Chocolate Scandi Shake (mixed),Nutrition - Supplements,Solution,chartevents
226002,Vanilla Lactose Free Scandi Shake (mixed),Nutrition - Supplements,Solution,chartevents
226005,Sterile field maintained throughout procedure (CVL),CVL Insertion,Checkbox,chartevents
226007,Number of operators (PA line),PA Line Insertion,Text,chartevents
226008,Arterial line sutured,Arterial Line Insertion,Checkbox,chartevents
226009,Dressing applied and dated (THCEN),Thoracentesis,Checkbox,chartevents
226010,Number of operators (PACEN),Paracentesis,Text,chartevents
226011,Number of attempts (PACEN),Paracentesis,Numeric,chartevents
226012,Dressing applied and dated (PACEN),Paracentesis,Checkbox,chartevents
226014,Dressing applied and dated (LP),Lumbar Puncture,Checkbox,chartevents
226016,Nutren 2.0 (1/4),Nutrition - Enteral,Solution,chartevents
226017,Nutren 2.0 (2/3),Nutrition - Enteral,Solution,chartevents
226018,Nutren 2.0 (3/4),Nutrition - Enteral,Solution,chartevents
226019,Nutren 2.0 (1/2),Nutrition - Enteral,Solution,chartevents
226020,Impact (1/4),Nutrition - Enteral,Solution,chartevents
226021,Impact (2/3),Nutrition - Enteral,Solution,chartevents
226022,Impact (3/4),Nutrition - Enteral,Solution,chartevents
226023,Impact (1/2),Nutrition - Enteral,Solution,chartevents
226024,Impact with Fiber (1/4),Nutrition - Enteral,Solution,chartevents
226025,Impact with Fiber (2/3),Nutrition - Enteral,Solution,chartevents
226026,Impact with Fiber (3/4),Nutrition - Enteral,Solution,chartevents
226027,Impact with Fiber (1/2),Nutrition - Enteral,Solution,chartevents
226028,Nutren Renal (1/4),Nutrition - Enteral,Solution,chartevents
226029,Nutren Renal (2/3),Nutrition - Enteral,Solution,chartevents
226030,Nutren Renal (3/4),Nutrition - Enteral,Solution,chartevents
226031,Nutren Renal (1/2),Nutrition - Enteral,Solution,chartevents
226036,Peptamen 1.5 (1/4),Nutrition - Enteral,Solution,chartevents
226037,Peptamen 1.5 (2/3),Nutrition - Enteral,Solution,chartevents
226038,Peptamen 1.5 (3/4),Nutrition - Enteral,Solution,chartevents
226039,Peptamen 1.5 (1/2),Nutrition - Enteral,Solution,chartevents
226040,ProBalance (1/4),Nutrition - Enteral,Solution,chartevents
226041,ProBalance (2/3),Nutrition - Enteral,Solution,chartevents
226042,ProBalance (3/4),Nutrition - Enteral,Solution,chartevents
226043,ProBalance (1/2),Nutrition - Enteral,Solution,chartevents
226044,Replete (1/4),Nutrition - Enteral,Solution,chartevents
226045,Replete (2/3),Nutrition - Enteral,Solution,chartevents
226046,Replete (3/4),Nutrition - Enteral,Solution,chartevents
226047,Replete (1/2),Nutrition - Enteral,Solution,chartevents
226048,Replete with Fiber (1/4),Nutrition - Enteral,Solution,chartevents
226049,Replete with Fiber (2/3),Nutrition - Enteral,Solution,chartevents
226050,Replete with Fiber (3/4),Nutrition - Enteral,Solution,chartevents
226051,Replete with Fiber (1/2),Nutrition - Enteral,Solution,chartevents
226056,Vivonex (1/4),Nutrition - Enteral,Solution,chartevents
226057,Vivonex (2/3),Nutrition - Enteral,Solution,chartevents
226058,Vivonex (3/4),Nutrition - Enteral,Solution,chartevents
226059,Vivonex (1/2),Nutrition - Enteral,Solution,chartevents
226060,Calories,Ingredients,Ingredient,chartevents
226062,Venous CO2 Pressure,Labs,Numeric,chartevents
226063,Venous O2 Pressure,Labs,Numeric,chartevents
226064,ZVancomycin (Trough),Labs,Numeric,chartevents
226065,ZVancomycin (Random),Labs,Numeric,chartevents
